Terrorist_Organization,Min_Year,Max_Year,Min_Month,Max_Month,Min_Day,Max_Day,Number_Of_Attacks,Number_Of_Deaths
Red Sea Afar Democratic Organization (RSADO),2008,2010,2,6,1,15,3,21
Hynniewtrep National Liberation Council (HNLC),2008,2018,2,11,2,18,6,1
National Alliance (Chad),2008,2008,6,6,14,16,3,1
Madhesi Virus Killers,2008,2008,6,6,15,15,1,0
Niger Delta Freedom Fighters (NDDF),2008,2008,6,6,16,16,1,0
People's Liberation Front of India,2008,2018,1,12,1,31,75,70
Popular Will (Greece),2008,2010,2,6,17,24,3,0
All Kamatapur Liberation Force,2008,2008,7,7,2,2,1,0
South Ossetian Separatists,2008,2010,3,8,3,29,10,1
14 March Coalition,2008,2008,7,7,9,9,1,5
Juarez Cartel (Carrillo-Fuentes / Mexico),2008,2008,7,7,14,14,1,0
Turkestan Islamic Party,2008,2016,4,10,21,30,9,108
Indian Mujahideen,2008,2017,2,12,1,29,52,132
Anti-Liberal extremists,2008,2008,7,7,27,27,1,2
Umbane People's Liberation Army (Swaziland),2008,2008,8,8,7,7,2,0
Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS),2008,2008,8,8,14,14,1,0
National Liberation Army (Nepal),2008,2008,8,8,17,17,1,0
Hizbul al Islam (Somalia),2008,2010,2,12,1,23,17,44
Forest Brothers,2008,2008,8,8,22,22,1,2
Iraq's Jihadist Leagues,2008,2009,2,8,8,25,2,0
Jundallah (Pakistan),2008,2016,1,12,0,30,20,253
Gulf Cartel,2008,2008,9,9,15,15,1,8
Army of State Liberators,2008,2008,9,9,25,25,1,0
Forces for the Unification of the Central African Republic (FIRCA),2008,2008,9,9,28,28,1,0
Kurdistan Free Life Party,2008,2018,1,10,2,25,14,66
National Congress for the Defense of the People (CNDP),2008,2008,10,11,6,29,5,0
Mahaz Fedai Tahrik Islami Afghanistan,2008,2014,3,11,10,26,5,3
Incendiary Committee of Solidarity for Detainees,2008,2008,11,11,11,11,1,0
Deccan Mujahideen,2008,2008,11,11,0,26,8,184
Rastriya Janashakti Party (RJP),2008,2008,12,12,2,2,1,1
Militant Organization of Russian Nationalists,2008,2008,12,12,6,6,1,1
Afghan Revolutionary Front,2008,2008,12,12,16,16,1,0
Ahlu-sunah Wal-jamea (Somalia),2008,2016,4,12,8,28,8,26
Ansar Wa Mohajir (Pakistan),2008,2008,12,12,23,24,2,1
23 May Democratic Alliance (Algeria),2009,2009,1,1,7,22,3,1
Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP),2009,2012,1,10,10,25,2,9
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal,2009,2013,1,10,6,25,5,3
Baloch Liberation Front (BLF),2009,2018,1,12,1,31,190,276
Mahan Madhesh Janakantri Party (MMJP)- Nepal,2009,2011,1,1,12,26,4,0
Hushaysh Tribal Members,2009,2009,1,1,26,26,1,0
Mongolian Mukti Morcha,2009,2009,2,2,6,6,1,1
Salafi Extremists,2009,2009,2,2,9,9,1,0
Supreme Command for Jihad and Liberation,2009,2009,2,12,11,30,2,0
Bhisan Himali Bag,2009,2009,2,2,13,13,1,0
Himali Tigers,2009,2009,2,2,13,13,1,0
Sect of Revolutionaries (Greece),2009,2010,2,7,17,19,3,2
Macedonian nationalists,2009,2009,3,3,2,2,1,0
National United Front of Democracy Against Dictatorship (UDD),2009,2009,3,3,14,14,1,0
Tritiya Prastuti Committee (TPC),2009,2018,1,12,1,30,21,10
Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece,2009,2010,1,3,18,28,3,0
Tibetan separatists,2009,2009,3,3,19,19,1,1
Popular Front for Justice in the Congo,2009,2009,4,9,21,28,5,1
Tharuhat Joint Struggle Committee (TJSC),2009,2009,4,4,25,25,2,0
Revolutionary Headquarters (Turkey),2009,2009,4,4,27,27,1,3
Citizen's Rights Protection Volunteers,2009,2009,5,5,8,9,2,3
Terai Rastriya Mukti Sena (TRMS),2009,2009,5,5,17,17,1,0
Tehrik-e-Galba Islam,2009,2010,5,5,15,18,2,2
Islamic Jihad Union (Uzbekistan),2009,2009,5,5,26,26,2,3
Minutemen American Defense,2009,2009,5,5,30,30,1,2
Alexandros Grigoropoulos Anarchist Attack Group,2009,2009,6,6,3,3,1,0
Balochistan Liberation United Front (BLUF),2009,2015,1,11,5,31,28,29
Kara clan,2009,2009,6,6,6,6,1,7
United People's Democratic Front (UPDF) - Bangladesh,2009,2018,1,7,3,20,8,8
Bodo People's Front (BPF),2009,2009,6,6,8,8,1,1
People's Committee against Police Atrocities (PCPA),2009,2011,2,12,5,30,22,11
Gono Bahini (GB),2009,2009,6,8,10,28,2,4
Lashkar-e-Islam (Pakistan),2009,2017,1,12,0,31,122,370
Attack Teams for the Dissolution of the Nation (Greece),2009,2009,7,7,2,4,3,0
Iraqi Sunni Extremists,2009,2009,7,7,21,21,1,6
Deniers of Holidays,2009,2009,7,7,23,23,1,0
NVF,2009,2011,1,11,0,26,4,14
Boko Haram,2009,2018,1,12,1,31,2430,21662
Zero Tolerance,2009,2015,1,7,4,27,5,0
Illuminating Paths of Solidarity,2009,2009,7,7,28,28,6,0
Militant Forces Against Huntingdon,2009,2009,8,8,3,3,1,0
Revolutionary Cells (Argentina),2009,2010,5,8,4,25,2,0
Incel extremists,2009,2018,4,11,1,23,6,34
Black Eagles,2009,2012,8,9,6,28,2,0
Urhobo Revolutionary Army,2009,2009,8,8,13,13,1,0
Lashkar-e-Balochistan,2009,2017,1,12,2,31,32,8
The Black Sun,2009,2009,8,8,25,25,1,0
Kokang,2009,2009,9,9,28,28,1,34
Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh,2009,2017,1,9,2,14,3,1
Ansar Al Sunnah (Palestine),2009,2010,3,9,11,18,3,1
Gholam Yahya Akbar,2009,2009,10,10,1,1,1,0
Bangsamoro National Liberation Army,2009,2009,10,10,5,5,1,0
Arauco Malleco Coordinating Group (CAM) - Chile,2009,2018,2,12,5,30,12,0
Council for the Destruction of Order,2009,2009,10,10,23,23,1,0
Islamic Party (Somalia),2009,2010,5,11,5,25,2,3
Freedom Eagles of Africa,2009,2009,11,11,10,22,2,0
Al-Jub Tribe,2009,2009,11,11,15,15,1,0
Convention of Patriots for Justice and Peace,2009,2013,2,11,1,28,8,39
Hoodie Wearers,2009,2009,12,12,3,3,1,0
Anarchist Action (CA / United States),2009,2009,12,12,12,12,1,0
Black and Red Anarchist and Anti-Authoritarians Initiative (Greece),2009,2009,12,12,18,18,1,0
Merille Militia,2010,2014,1,4,16,26,4,7
Terai Janatantrik Party,2010,2010,1,1,27,27,1,0
Jacinto Araujo Internationalist Rebel Insurrectionist Brigade,2010,2010,2,2,3,3,1,0
Combat 18,2010,2010,2,2,4,4,1,0
United Liberation Front of Barak Valley (ULFBV) - India,2010,2013,2,10,13,14,2,0
Shield of Islam Brigade,2010,2010,2,3,14,31,2,0
Revolutionary Continuity,2010,2010,2,2,16,16,1,0
Ansarul Islam (Pakistan),2010,2011,2,6,1,18,2,32
Southern Yemen Separatists,2010,2014,1,2,17,26,5,5
United Front for Democracy Against Dictatorship,2010,2015,2,8,1,27,24,21
Terai Janatantrik Madhes Party,2010,2010,3,3,1,1,1,1
Africa Marine Commando,2010,2011,2,11,6,28,5,7
Sisters in Arms,2010,2010,3,3,27,27,1,0
Janatantrik Terai Madhesh Mukti Morcha (JTMMM),2010,2013,1,9,5,28,8,2
Rebellious Group Lambros Foundas,2010,2010,3,3,28,28,1,1
People's Democratic Struggle Movement,2010,2010,4,4,11,11,1,0
Samyukta Jatiya Mukti Morcha (SJMM),2010,2012,2,12,2,30,12,8
Aqmur,2010,2010,5,5,16,16,1,0
Southern Mobility Movement (Yemen),2010,2015,1,12,1,31,55,112
Fighting For Freedom Coalition (FFFC-Ottawa),2010,2010,5,5,18,18,1,0
Dynamic Youth Forum,2010,2010,5,7,6,22,2,0
Baloch Militant Defense Army,2010,2010,5,5,24,24,1,0
Swatantra Nepal Dal,2010,2010,6,6,7,7,1,0
Paraguayan People's Army (EPP),2010,2018,1,12,1,31,75,48
Aniban ng Ayaw sa Komunista (ANAK) ,2010,2010,6,6,26,26,1,0
Wahhabi Movement,2010,2010,6,6,27,27,1,1
Groups for Dissemination of Revolutionary Theory and Action,2010,2010,6,6,28,28,1,0
Popular Front of India,2010,2010,7,7,4,4,1,0
Tehrik-e-Tuhafaz (Pakistan),2010,2010,7,7,17,17,2,0
Real Ulster Freedom Fighters (UFF) - Northern Ireland,2010,2013,2,8,11,24,4,0
Karabulak Gang,2010,2010,8,8,17,17,1,2
Mouhajiroune Brigade,2010,2010,8,8,22,22,1,2
Al-Bakazim,2010,2011,2,8,27,28,2,0
Friends of Freedom,2010,2010,8,9,7,31,2,0
Vandalicia Teodoro Suarez,2010,2010,9,9,16,16,1,0
United Democratic Liberation Army (UDLA),2010,2016,2,11,1,28,8,6
Terai Madheshi Mukti Morcha (TMMM),2010,2010,9,9,19,19,1,1
Jund Al-Tawid,2010,2010,9,9,27,27,1,0
Volunteers of Innocent People of Nagas (VIPN),2010,2018,1,9,6,29,2,0
Garo National Liberation Army,2010,2018,1,12,1,31,156,81
Sindhu Desh Liberation Army (SDLA),2010,2017,2,12,2,31,58,13
Niger Delta Liberation Force (NDLF)-Nigeria,2010,2010,12,12,17,17,3,0
Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP),2010,2010,12,12,20,20,1,0
Delta Democratic Militia,2011,2011,1,1,3,3,1,0
Misseriya Arab Tribesmen,2011,2015,1,5,2,10,3,15
Karbi People's Liberation Tigers (KPLT),2011,2017,1,12,2,27,17,15
Black Hawks (Anti-Wahhabists),2011,2011,2,2,6,6,1,0
Baloch Mussalah Diffah Tanzim (BMDT),2011,2011,3,3,1,1,1,1
Madhesh Mukti Sangram (MMS),2011,2011,3,3,25,25,1,0
Tawhid and Jihad (Palestine),2011,2011,4,8,14,28,2,1
Jamaah Ansharut Tauhid (JAT),2011,2012,4,11,11,25,8,2
Arab People's Group,2011,2011,4,4,15,15,1,3
Khumbuwan Mukti Morcha,2011,2011,4,9,23,28,2,0
South Sudan Liberation Army (SSLA),2011,2011,5,10,10,11,2,20
Sanghiya Limbuwan Committee (SLC),2011,2011,5,5,11,11,1,0
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),2011,2013,1,12,12,23,6,16
Naga National Council (NNC),2011,2013,6,11,4,28,2,1
Arab Socialist Baath Party of Iraq,2011,2011,6,6,21,21,1,27
Joint Meeting Parties (JMP),2011,2011,7,7,3,3,1,4
National Front for the Revolution in Burundi (FRONABU-Tabara),2011,2011,7,7,4,4,2,0
Provisional RSPCA,2011,2011,7,7,5,5,1,0
Adivasi People's Army (APA),2011,2013,2,11,3,16,3,0
Khorasan jihadi group,2011,2011,7,7,13,13,2,3
Baloch Liberation Tigers (BLT),2011,2015,6,12,6,14,8,46
Kuki National Liberation Front (KNLF),2011,2014,7,8,8,21,3,0
Yimchunger Liberation Front (YLF),2011,2011,8,8,29,29,1,0
Muslim United Liberation Tigers of Assam (MULTA),2011,2011,9,9,15,15,1,0
Zeliangrong United Front,2011,2018,1,12,1,31,18,13
Hekla Reception Committee-Initiative for More Social Eruptions,2011,2011,10,10,10,13,5,0
Hill Tiger Force (HTF),2011,2011,10,11,3,27,4,1
Movement for Oneness and Jihad in West Africa (MUJAO),2011,2017,1,12,1,31,51,150
Liberation and Justice Movement (LJM),2011,2014,1,11,9,26,11,36
Soldiers of the Caliphate,2011,2011,10,10,31,31,2,1
Comando Autónomo Voltaire Argandoña,2011,2011,11,11,1,1,1,0
United Baloch Army (UBA),2011,2017,1,12,1,30,89,161
Free Syrian Army,2011,2018,1,12,1,31,100,385
Revolutionary Insurgent Armed Forces of Ecuador (FAIRE),2011,2011,11,11,22,22,1,0
Eritrean Salvation Front (ESF),2011,2011,12,12,0,0,1,17
Islamic Movement of Kashmir,2011,2012,8,12,2,10,2,1
Individuals Tending Toward Savagery,2011,2018,1,12,7,31,4,37
Zintani Militia,2011,2011,12,12,11,11,1,0
Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos),2011,2011,12,12,21,21,1,0
Adivasi Cobra Militants of Assam (ACMA),2011,2011,12,12,21,21,1,0
Shabelle Valley militia,2012,2012,1,2,2,8,2,5
Al-Nusrah Front,2012,2017,1,12,1,31,239,2977
Janatantrik Terai Madhes Mukti Party- Bhagat Singh (JTMMP),2012,2012,1,1,16,16,1,0
Azawad National Liberation Movement (MNLA),2012,2015,1,12,5,29,25,144
Qari Kamran Group,2012,2012,1,1,19,19,1,1
Samyukta Terai Madhes Mukti Party,2012,2012,1,1,21,21,1,0
Sudan People's Liberation Movement - North,2012,2017,1,12,2,29,55,586
Syrian Army deserters,2012,2012,1,1,30,30,1,6
Tehrik-e-Taliban Islami (TTI),2012,2015,2,6,17,17,2,41
Sudan Liberation Army-Minni Minawi (SLA-MM),2012,2015,1,12,3,25,8,31
Urban Guerrilla War,2012,2012,2,2,25,25,1,0
Revolutionary Front,2012,2012,2,2,26,26,1,0
Coordination Committee (CORCOM),2012,2018,1,8,3,28,22,6
Bhittani tribe,2012,2012,3,3,7,7,1,0
Zetas,2012,2012,3,6,13,19,2,1
Jharkhand Janmukti Parishad (JJP),2012,2018,1,11,1,30,8,1
Sindhudesh Revolutionary Army (SRA),2012,2018,1,12,4,31,27,1
National Committee for the Restoration of Democracy and State (CNRDR),2012,2012,3,3,22,22,1,1
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P),2012,2018,1,12,9,29,9,0
Communist Party of Nepal (People's War Group),2012,2012,4,4,4,4,8,0
Supporters of Ali Abdullah Saleh,2012,2015,4,12,7,18,2,0
Civilian Defense,2012,2012,4,4,8,8,1,1
Al-Naqshabandiya Army,2012,2015,1,12,3,29,34,165
Ansar al-Dine (Mali),2012,2017,1,12,1,31,51,114
Sudanese Rebels,2012,2017,3,4,23,24,2,11
Pro Hartal Activists,2012,2015,1,12,1,31,92,5
Mai Mai Simba Militia,2012,2017,3,12,4,28,12,74
Force Etudiante Critique,2012,2012,5,5,10,10,1,0
Shiv Sena,2012,2013,1,5,7,14,2,0
Friends of Loukanikos,2012,2012,5,5,14,14,1,0
Telangana Separatists,2012,2012,5,5,16,25,2,0
Islami Jamiat-e-Talaba (IJT),2012,2012,5,5,18,18,2,0
Mullah Dadullah Front,2012,2012,5,5,19,19,1,0
Brigades of Imprisoned Sheikh Omar Abdel-Rahman,2012,2012,5,6,5,22,3,0
Nepalbad Party,2012,2012,5,5,30,30,1,1
Knights Templar (Caballeros Templarios),2012,2012,5,5,31,31,1,0
Republican Action Against Drugs (RAAD),2012,2012,6,6,2,2,1,0
Gbagbo Loyalists,2012,2017,6,9,2,28,18,21
People's Amn Committee,2012,2013,6,6,5,17,2,6
Mujahedeen Shura Council in the Environs of Jerusalem,2012,2013,3,8,4,21,5,3
Sovereign Citizen,2012,2015,6,11,6,23,3,1
International Revolutionary Front,2012,2015,4,6,6,27,2,0
Izberbash Gang,2012,2012,6,6,27,27,1,1
Partido Marxista-Leninista ng Pilipinas (PMLP),2012,2016,1,7,2,23,2,1
Sindh Liberation Front,2012,2012,7,7,1,2,2,0
Tolib Ayombekov loyalists,2012,2012,7,7,21,21,1,1
Brigade of al-Mukhtar al-Thaqafi,2012,2012,7,7,23,23,1,0
People's Protection Units (YPG),2012,2018,1,12,1,31,13,9
Jaljala Army,2012,2012,8,8,5,5,1,22
Bangsamoro Islamic Freedom Movement (BIFM),2012,2018,1,12,1,31,468,351
Kilafah Islamic Movement,2012,2015,6,12,8,29,3,7
Proletariat Self-defense Groups,2012,2013,6,8,3,10,4,1
Dissident Republican Guard,2012,2012,8,8,14,14,1,5
Ansar Bayt al-Maqdis (Ansar Jerusalem),2012,2014,1,12,1,31,73,214
Pro-LGBT Rights extremists,2012,2017,8,11,13,15,2,0
Jaish-e-Islam,2012,2016,1,12,1,30,24,102
David Yau Yau Militia,2012,2013,2,10,8,23,6,218
Ansar al-Sharia (Libya),2012,2018,1,12,1,31,59,123
Ansar al-Sharia (Tunisia),2012,2014,2,11,6,30,13,17
Resistencia Galega,2012,2014,9,10,1,15,3,0
Jaish Usama,2012,2014,3,9,4,17,2,2
Yakariya Bango Insurgent Group,2012,2012,9,9,21,21,2,6
Tajamo Ansar al-Islam,2012,2018,7,9,9,26,2,39
Mombasa Republican Council (MRC),2012,2014,3,12,2,28,9,26
National Freedom Party,2012,2012,10,10,5,5,1,1
Zomi Revolutionary Army (ZRA),2012,2014,3,10,7,29,2,0
Mujahidin Indonesia Timur (MIT),2012,2018,1,12,3,31,22,26
Bengali Sangram Mukti Bahini,2012,2012,10,10,17,17,1,0
Harakat Ansar Iran (HAI),2012,2012,10,10,19,19,1,3
The New Irish Republican Army,2012,2018,1,12,1,31,49,8
Sudurpaschim Janata Dal,2012,2012,11,11,2,2,1,0
M23,2012,2017,1,11,4,27,7,180
Diraa al-Shahbaa Rebel Brigade,2012,2012,11,11,18,18,1,1
Tawheedul Islam,2012,2012,11,11,20,20,1,1
Militant Minority (Greece),2012,2013,1,12,7,26,7,0
Punjabi Taliban,2012,2014,1,12,3,13,4,14
Biswabhumi Sena Bishal Nepal,2012,2012,12,12,3,3,1,0
Mapuche extremists,2013,2018,1,12,1,31,33,4
Mujahideen Ansar,2013,2014,1,12,1,26,18,141
Ansarullah Bangla Team,2013,2018,1,11,3,31,11,15
Group of Popular Fighters,2013,2018,1,12,12,30,9,0
Jaish al-Muhajireen wal-Ansar (Muhajireen Army),2013,2013,4,4,15,15,1,1
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood),2013,2015,1,11,4,26,10,117
Golden Dawn,2013,2018,1,2,17,25,2,1
Wild Freedom,2013,2013,1,1,20,20,1,0
National Liberation Front of Provence (FLNP),2013,2014,1,5,6,22,3,0
Bedouin Movement (Sudan),2013,2013,1,1,21,21,2,2
Anti-Police extremists,2013,2017,1,12,3,27,14,14
Mateo Morral Insurrectionist Commandos,2013,2013,2,10,2,7,2,0
Mukhtar Army,2013,2015,2,12,9,29,4,35
Muslim Renewal,2013,2013,2,2,17,17,1,1
February 14th Movement,2013,2017,2,11,10,26,5,0
Liwa al-Islam,2013,2013,2,2,21,21,1,0
Communist Party of Nepal-Maoist (Baidya),2013,2016,1,11,1,31,34,2
Yarmouk Martyrs Brigade,2013,2013,3,5,6,7,2,0
Overall Deniers of Joining the Existing,2013,2013,3,3,12,12,3,0
Islamic State of Iraq and the Levant (ISIL),2013,2018,1,12,1,31,5768,41218
Epanastatiki Anatropi (Revolutionary Overthrow),2013,2013,3,3,27,27,1,0
Terai Communist Party,2013,2013,3,4,3,29,2,0
Jamaat Tauhid Wal Jihad (Pakistan),2013,2013,3,3,31,31,1,0
National Democratic Front-Bicol (NDF-Bicol),2013,2018,4,11,7,18,4,5
Hassan Mabkhut Group,2013,2013,4,4,8,8,2,0
Anti-Clerical Pro-Sex Toys Group,2013,2013,4,4,19,19,2,0
Maoist Communist Party of Manipur,2013,2016,4,4,1,21,3,0
Colonel Albert Kahasha Militia,2013,2013,4,4,24,24,1,20
Sayfullakh,2013,2013,4,4,30,30,1,3
Balakhani Group,2013,2013,5,5,1,1,1,2
Zehri Youth Force (ZYF),2013,2013,5,5,2,2,1,0
Pattali Makkal Katchi (PMK),2013,2013,5,5,2,4,4,0
Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations),2013,2013,5,5,5,5,1,3
Abdul Qader Husseini Battalions of the Free Palestine movement,2013,2013,5,5,15,15,1,0
Anti-Gentrification Front,2013,2013,5,5,15,15,1,0
Anti-Gun Control extremists,2013,2013,5,5,20,20,3,0
Pattani United Liberation Organization-MKP (PULO-MKP),2013,2013,5,5,26,26,1,0
Armed Group for the Defence of the People,2013,2013,5,5,27,27,2,0
Al-Ashtar Brigades,2013,2017,1,12,3,31,12,6
Sudan Revolutionary Front (SRF),2013,2015,1,7,13,31,4,28
English Defense League (EDL),2013,2013,6,6,5,5,1,0
Los Rastrojos (Colombia),2013,2013,6,6,5,5,1,1
Borderless Solidarity Cell (BSC),2013,2013,6,6,21,21,1,0
Ahrar al-Sham,2013,2017,4,11,1,28,18,135
United Achik Liberation Army (UALA),2013,2014,4,11,3,30,3,15
313 Brigade (Syria),2013,2013,6,7,9,28,3,0
Civilian Joint Task Force (JTF),2013,2013,7,7,1,1,1,0
Detonators of Social Uprisings,2013,2013,7,7,4,4,1,0
Unsubordinated Desires,2013,2013,7,7,16,16,1,0
Pahadi Cheetah,2013,2013,7,7,22,22,1,3
Okba Ibn Nafaa Brigade,2013,2018,2,11,1,31,19,56
Liwa al-Haqq,2013,2013,8,8,1,1,1,40
Students For Insurrection,2013,2013,8,8,8,8,1,0
Zuwar al-Imam Rida,2013,2013,8,8,9,9,1,0
Four Martyrs Brigade,2013,2013,8,8,11,11,1,2
The Mujahadeen Room in Latakia Countryside,2013,2013,8,8,12,12,1,3
Aisha Umm-al Mouemeneen (Brigades of Aisha),2013,2013,8,8,15,15,1,30
Popular Resistance Brigade,2013,2013,8,12,17,28,2,1
Amazigh Islamic Front,2013,2013,8,8,17,17,1,0
National Liberation Force of Bengalis (Bangali Janamukti Bahini),2013,2013,8,11,18,20,4,0
Sanatan Sanstha,2013,2018,1,8,16,30,5,3
Veterans United for Non-Religious Memorials,2013,2013,8,9,3,22,2,0
Angry Foxes Cell,2013,2013,8,8,27,27,1,0
Al-Furqan Brigades,2013,2015,4,10,7,31,3,7
Makhachkala Gang,2013,2015,3,9,1,15,4,2
Defenders of the Nation's Sovereignty,2013,2013,9,9,5,5,1,0
Mapuche Ancestral Resistance (RAM),2013,2017,7,10,2,12,4,0
Ombatse Cult,2013,2013,9,9,17,17,1,12
Vanguards of the Caliphate,2013,2013,9,9,20,20,1,1
Caspian Group,2013,2013,9,9,21,21,1,1
Bru National Liberation Front (BNLF),2013,2016,6,9,22,26,2,0
Powers of the Revolutionary Arc,2013,2013,9,9,26,26,1,0
Moro Ghuraba,2013,2015,6,9,17,27,2,3
Liwa al-Tawhid,2013,2013,9,9,30,30,1,0
Aba Cheali Group,2013,2013,10,10,2,2,1,4
Al-Qaida in the Indian Subcontinent,2013,2017,1,10,4,31,17,12
Libya Revolutionaries Operations Room (LROR),2013,2017,6,10,10,28,4,6
Ayesha bint al-Sadiq Brigade,2013,2013,10,10,17,17,1,1
Jaish al-Adl,2013,2018,1,12,2,26,17,81
Militant People's Revolutionary Forces,2013,2013,11,11,1,1,1,2
Ansaru ash-Sharia (Russia),2013,2013,11,11,8,8,1,1
Achik National Volunteer Council-B (ANVC-B),2013,2015,1,11,1,29,8,5
Manipur Naga People's Army (MNPA),2013,2017,1,12,4,29,10,0
Seleka,2013,2016,1,12,1,30,33,418
Jaish al-Mukhtar,2013,2013,11,11,20,20,1,0
Anti-Balaka Militia,2013,2018,1,12,1,31,80,812
Baloch National Liberation Front,2013,2015,5,12,10,29,2,0
Unification Army Sons Brigade,2013,2013,12,12,17,17,1,3
National Democratic Alliance Army (NDAA-ESSA),2013,2017,2,12,6,26,11,86
Tehrik-e-Nifaz-e-Aman Balochistan-Jhalawan Brigade (TNAB-Jhalawan Brigade),2013,2013,12,12,20,20,1,0
Zwai Tribe,2013,2013,12,12,21,21,1,5
Libya Shield Force,2013,2014,4,12,3,30,8,2
Jund al-Islam,2014,2014,1,1,2,2,1,2
Abu Jaafar al-Mansur Brigades,2014,2014,1,1,5,5,1,0
Hadramawt Tribes Alliance,2014,2014,1,1,4,4,1,0
Tabu Tribe,2014,2018,1,5,1,14,4,9
Achik Tiger Force,2014,2014,1,1,11,11,1,0
Abu Bakr Unis Jabr Brigade,2014,2014,1,1,11,11,1,1
Abu Tira (Central Reserve Forces),2014,2014,1,1,15,15,1,2
Tehama Movement,2014,2018,1,9,20,29,2,1
Sudan People's Liberation Movement in Opposition (SPLM-IO),2014,2018,1,12,1,30,104,1815
National Liberation Council of Taniland,2014,2014,1,1,29,29,1,10
Ajnad Misr,2014,2015,1,11,2,31,32,11
Achik National Liberation Army (ANLA),2014,2016,1,11,3,17,3,1
Al-Qaqa Brigade,2014,2014,2,8,6,19,2,1
Islamic Front (Syria),2014,2015,1,12,1,31,31,287
Tarok Militia,2014,2014,2,9,6,6,2,28
Anti-Yanukovych extremists,2014,2014,2,2,7,7,1,0
Baloch Waja Liberation Army (BWLA),2014,2014,2,7,6,26,5,3
Mai Mai Bakata Katanga Militia,2014,2014,2,10,4,12,3,1
Tehrik-e-Khilafat,2014,2014,2,11,6,31,14,10
Popular Front for Recovery (FPR),2014,2014,2,2,17,17,1,4
Right Sector,2014,2018,2,7,2,23,7,51
Mustafa al-Hujairi Group,2014,2014,2,2,18,18,3,0
Jaish as-Saiyouf (Army of Swords),2014,2014,2,2,20,20,1,2
The Association for Islamic Mobilisation and Propagation (UAMSHO),2014,2014,2,6,13,24,4,1
Pro-Russia Militia,2014,2018,1,10,1,30,18,13
Biafra Zionist Movement (BZM),2014,2014,3,6,4,8,2,3
Russian Unity,2014,2014,3,3,9,9,1,0
Cyrenaica Self-Defense Force,2014,2014,3,3,4,4,1,0
Al-Islah Party,2014,2018,3,10,6,17,6,26
Raskamboni Movement,2014,2014,3,3,24,24,1,1
Liwa Ahrar al-Sunna,2014,2014,3,7,2,30,15,7
Tiv Militia,2014,2014,3,3,25,25,1,5
National Santhali Liberation Army (NSLA),2014,2014,4,4,2,2,1,3
Military Council of the Tribal Revolutionaries (MCTR),2014,2014,4,12,1,31,19,122
Donetsk People's Republic,2014,2017,1,12,1,31,579,1657
Ses'khona Peoples' Rights Movement,2014,2014,3,3,13,13,1,0
Sudanese People's Front,2014,2014,4,4,18,18,1,5
Jaish Tahkim al-Din,2014,2014,4,4,29,29,1,3
Luhansk People's Republic,2014,2017,1,12,1,30,190,250
Alliance of Patriots for a Free and Sovereign Congo (APCLS),2014,2017,3,10,18,30,4,1
Democratic Front of the Central African People (FDPC),2014,2015,3,10,1,24,8,0
Tanzeem al-Islami al-Furqan,2014,2014,5,8,14,26,2,0
Haftar Militia,2014,2014,5,11,1,28,25,101
Student Network of Mandalay,2014,2014,5,5,18,18,1,0
Jaish al-Islam (Libya),2014,2014,5,5,19,19,1,0
Baloch Republican Guards (BRG),2014,2016,2,11,7,27,8,6
Rafallah al-Sahati Brigade,2014,2014,5,6,23,25,2,3
Jharkhand Bachao Aandolan,2014,2014,5,5,23,23,1,0
Organization for Revolutionary Self Defense,2014,2017,1,11,6,31,5,0
United Karbi Liberation Army (UKLA),2014,2014,6,6,5,5,1,2
Bodu Bala Sena,2014,2017,5,6,6,21,7,3
Achik Songna An'pachakgipa Kotok (ASAK),2014,2017,1,10,2,30,14,1
Dima Hasao National Army,2014,2014,6,6,17,17,1,0
Southern Front,2014,2016,5,10,9,30,18,56
Mitiga Militia,2014,2014,7,7,4,4,1,0
Saraya al-Mukhtar,2014,2014,7,7,4,4,1,1
Bangalee Somo Odhikar Andolon,2014,2014,7,7,4,4,1,0
Libyan Militia,2014,2014,7,8,15,19,2,3
Sinai Province of the Islamic State,2014,2018,1,12,1,31,459,1696
Hamza Combat Group against Atheism and Heresy,2014,2014,7,7,20,20,1,0
Armed Forces for National Salvation - Army of the People (FASN-EP),2014,2014,7,7,20,20,2,5
Enyele Militia,2014,2014,7,7,22,22,1,8
National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK),2014,2015,7,7,9,31,3,0
Islamic Youth Shura Council,2014,2014,7,10,18,27,3,3
Misrata Brigades,2014,2017,1,12,7,28,9,146
Al-Madani Brigade,2014,2014,7,7,29,29,1,0
Rabha National Security Force,2014,2014,7,7,29,29,1,0
Achik National Cooperative Army (ANCA),2014,2015,5,11,19,31,3,2
